Month,CAC
1991-07,1754.7
1991-08,1864.3
1991-09,1880.6
1991-10,1861.8
1991-11,1754.9
1992-01,1873.9
1992-02,1985.1
1992-03,1943.8
1992-04,2006.6
1992-05,2014.1
1992-06,1907.3
1992-07,1801.6
1992-08,1687.5
1992-09,1770.3
1992-10,1749.9
1992-11,1739.7
1993-01,1780.6
1993-02,1944.6
1993-03,2033.9
1993-04,1927.4
1993-05,1904.6
1993-06,1960.8
1993-07,1989.5
1993-08,2183.9
1993-09,2108.6
1993-10,2192
1993-11,2118.4
1994-01,2281
1994-02,2208.3
1994-03,2144.5
1994-04,2130.9
1994-05,2091.9
1994-06,1907
1994-07,2055.7
1994-08,2062.7
1994-09,1902.7
1994-10,1831.5
1994-11,1934.7
1995-01,1826.3
1995-02,1827
1995-03,1836.1
1995-04,1945.9
1995-05,1960.7
1995-06,1895.1
1995-07,1942.5
1995-08,1937.8
1995-09,1800.6
1995-10,1764.1
1995-11,1867.1
1996-01,1950.2
1996-02,1953.3
1996-03,2003.8
1996-04,2112
1996-05,2114.5
1996-06,2097.6
1996-07,1954.1
1996-08,2020.8
1996-09,2067.1
1996-10,2148.9
1996-11,2233.6
1997-01,2461.3
1997-02,2575.2
1997-03,2579.3
1997-04,2514.7
1997-05,2741.7
1997-06,2757.1
1997-07,3003.5
1997-08,2904.2
1997-09,3017.5
1997-10,2958.1
1997-11,2821.2
1998-01,2988.6
1998-02,3250.6
1998-03,3680.1
1998-04,3860.4
1998-05,4047.9
1998-06,4027.3
1998-07,4220.1